Site,Treatment,Infloresence replicate,Fruit number,Survival time,Censored
TM,Bagged,1,1,2,1
TM,Bagged,1,2,4,1
TM,Bagged,1,3,4,1
TM,Bagged,3,1,14,0
TM,Bagged,5,1,14,0
TM,Bagged,5,2,14,0
TM,Bagged,6,1,14,0
TM,Bagged,6,2,14,0
TM,Bagged,6,3,14,0
TM,Bagged,8,1,0,1
TM,Bagged,8,2,6,1
TM,Bagged,8,3,8,1
TM,Bagged,8,4,8,1
TM,Bagged,9,1,0,1
TM,Bagged,9,2,0,1
TM,Bagged,9,3,14,0
TM,Bagged,9,4,14,0
TM,Bagged,9,5,14,0
TM,Bagged,9,6,14,0
TM,Bagged,12,1,2,1
TM,Bagged,12,2,2,1
TM,Bagged,12,3,14,0
TM,Bagged,12,4,14,0
TM,Bagged,12,5,14,0
TM,Bagged,12,6,14,0
TM,Bagged,14,1,6,1
TM,Bagged,14,2,14,0
TM,Bagged,14,3,14,0
TM,Bagged,14,4,14,0
TM,Bagged,14,5,14,0
TM,Open,1,1,0,1
TM,Open,1,2,0,1
TM,Open,1,3,0,1
TM,Open,1,4,0,1
TM,Open,1,5,0,1
TM,Open,1,6,0,1
TM,Open,1,7,0,1
TM,Open,1,8,0,1
TM,Open,1,9,0,1
TM,Open,1,10,0,1
TM,Open,1,11,0,1
TM,Open,1,12,2,1
TM,Open,1,13,2,1
TM,Open,1,14,2,1
TM,Open,1,15,2,1
TM,Open,1,16,2,1
TM,Open,1,17,2,1
TM,Open,1,18,6,1
TM,Open,1,19,14,0
TM,Open,1,20,14,0
TM,Open,3,1,0,1
TM,Open,3,2,0,1
TM,Open,3,3,0,1
TM,Open,3,4,0,1
TM,Open,3,5,2,1
TM,Open,3,6,2,1
TM,Open,3,7,2,1
TM,Open,3,8,2,1
TM,Open,3,9,2,1
TM,Open,3,10,2,1
TM,Open,3,11,2,1
TM,Open,3,12,2,1
TM,Open,3,13,14,0
TM,Open,5,1,0,1
TM,Open,5,2,0,1
TM,Open,5,3,0,1
TM,Open,5,4,0,1
TM,Open,5,5,0,1
TM,Open,5,6,2,1
TM,Open,5,7,2,1
TM,Open,5,8,4,1
TM,Open,5,9,6,1
TM,Open,5,10,6,1
TM,Open,5,11,6,1
TM,Open,5,12,6,1
TM,Open,5,13,6,1
TM,Open,5,14,14,0
TM,Open,5,15,14,0
TM,Open,6,1,0,1
TM,Open,6,2,0,1
TM,Open,6,3,0,1
TM,Open,6,4,0,1
TM,Open,6,5,0,1
TM,Open,6,6,0,1
TM,Open,6,7,2,1
TM,Open,6,8,2,1
TM,Open,6,9,2,1
TM,Open,6,10,2,1
TM,Open,6,11,2,1
TM,Open,6,12,2,1
TM,Open,6,13,2,1
TM,Open,6,14,2,1
TM,Open,8,1,0,1
TM,Open,8,2,0,1
TM,Open,8,3,0,1
TM,Open,8,4,0,1
