Site,Treatment,Replicate no.,Size (cm),Size (mm),Replicate mean (mm)
TM,Bagged,1,0.63,6.3,6.133333333
TM,Bagged,1,0.69,6.9,
TM,Bagged,1,0.52,5.2,
TM,Bagged,3,0.63,6.3,6.3
TM,Bagged,5,0.62,6.2,6.4
TM,Bagged,5,0.66,6.6,
TM,Bagged,6,0.55,5.5,4.733333333
TM,Bagged,6,0.46,4.6,
TM,Bagged,6,0.41,4.1,
TM,Bagged,8,0.53,5.3,5.65
TM,Bagged,8,0.66,6.6,
TM,Bagged,8,0.67,6.7,
TM,Bagged,8,0.4,4,
TM,Bagged,9,0.38,3.8,3.92
TM,Bagged,9,0.39,3.9,
TM,Bagged,9,0.42,4.2,
TM,Bagged,9,0.41,4.1,
TM,Bagged,9,0.36,3.6,
TM,Bagged,12,0.35,3.5,4.04
TM,Bagged,12,0.35,3.5,
TM,Bagged,12,0.46,4.6,
TM,Bagged,12,0.42,4.2,
TM,Bagged,12,0.44,4.4,
TM,Bagged,14,0.5,5,4.9
TM,Bagged,14,0.47,4.7,
TM,Bagged,14,0.42,4.2,
TM,Bagged,14,0.6,6,
TM,Bagged,14,0.46,4.6,
TM,Open,1,0.8,8,7.54
TM,Open,1,0.65,6.5,
TM,Open,1,0.72,7.2,
TM,Open,1,0.9,9,
TM,Open,1,0.7,7,
TM,Open,3,0.74,7.4,6.72
TM,Open,3,0.65,6.5,
TM,Open,3,0.67,6.7,
TM,Open,3,0.78,7.8,
TM,Open,3,0.52,5.2,
TM,Open,5,0.7,7,6.98
TM,Open,5,0.69,6.9,
TM,Open,5,0.72,7.2,
TM,Open,5,0.65,6.5,
TM,Open,5,0.73,7.3,
TM,Open,6,0.89,8.9,7.94
TM,Open,6,0.84,8.4,
TM,Open,6,0.81,8.1,
TM,Open,6,0.65,6.5,
TM,Open,6,0.78,7.8,
TM,Open,8,0.89,8.9,8.56
TM,Open,8,0.98,9.8,
TM,Open,8,0.83,8.3,
TM,Open,8,0.86,8.6,
TM,Open,8,0.72,7.2,
TM,Open,9,0.7,7,6.52
TM,Open,9,0.74,7.4,
TM,Open,9,0.65,6.5,
TM,Open,9,0.57,5.7,
TM,Open,9,0.6,6,
TM,Open,12,0.63,6.3,7.2
TM,Open,12,0.74,7.4,
TM,Open,12,0.65,6.5,
TM,Open,12,0.8,8,
TM,Open,12,0.78,7.8,
TM,Open,13,0.78,7.8,8.36
TM,Open,13,0.86,8.6,
TM,Open,13,1,10,
TM,Open,13,0.82,8.2,
TM,Open,13,0.72,7.2,
TM,Open,14,0.67,6.7,6.58
TM,Open,14,0.76,7.6,
TM,Open,14,0.64,6.4,
TM,Open,14,0.64,6.4,
TM,Open,14,0.58,5.8,
TM,Open,15,0.8,8,6.98
TM,Open,15,0.69,6.9,
TM,Open,15,0.62,6.2,
TM,Open,15,0.65,6.5,
TM,Open,15,0.73,7.3,
TM,Hand pollinated,1,1.07,10.7,9.12
TM,Hand pollinated,1,0.94,9.4,
TM,Hand pollinated,1,0.88,8.8,
TM,Hand pollinated,1,0.8,8,
TM,Hand pollinated,1,0.87,8.7,
TM,Hand pollinated,3,0.79,7.9,7.22
TM,Hand pollinated,3,0.61,6.1,
TM,Hand pollinated,3,0.66,6.6,
TM,Hand pollinated,3,0.84,8.4,
TM,Hand pollinated,3,0.71,7.1,
TM,Hand pollinated,5,0.79,7.9,6.86
TM,Hand pollinated,5,0.78,7.8,
TM,Hand pollinated,5,0.54,5.4,
TM,Hand pollinated,5,0.66,6.6,
TM,Hand pollinated,5,0.66,6.6,
TM,Hand pollinated,6,0.84,8.4,7.6
TM,Hand pollinated,6,0.75,7.5,
TM,Hand pollinated,6,0.64,6.4,
