Site,Date,Temperature,Coordinates,Sky,Shade?,Wind,No. of umbels,Flower cover,Bumblebees,Honey bees,Solitary bees,Wasps,Hoverflies,Other flies,Butterflies and Moths,Small insects (<3mm),Total no. of visits
TM,26/09/2021,21.9,"52.17118° N, 0.09959° E",All/mostly blue,Entirely in sunshine,Leaves moving gently all the time,28,Half of patch,0,8,5,6,0,0,0,1,20
TM,26/09/2021,21,"52.17045° N, 0.09744° E",All/mostly blue,Entirely shaded,Leaves still/moving occassionally,42,Half of patch,0,1,6,1,2,2,0,2,14
TM,26/09/2021,21.4,"52.17044° N, 0.09743° E",All/mostly blue,Entirely shaded,Leaves still/moving occassionally,35,Less than half,0,1,1,4,2,0,0,2,10
TM,27/09/2021,18.7,"52.17034° N, 0.09709° E",Half blue and half cloud,Entirely in sunshine,Leaves still/moving occassionally,22,Less than half,0,1,5,2,2,2,0,0,12
TM,27/09/2021,15.8,"52.17032° N, 0.09713° E",Half blue and half cloud,Entirely in sunshine,Leaves still/moving occassionally,35,Half of patch,0,2,2,2,0,0,0,0,6
TM,27/09/2021,18.8,"52.17061° N, 0.09809° E",Half blue and half cloud,Entirely in sunshine,Leaves still/moving occassionally,38,Half of patch,0,1,12,5,2,1,0,0,21
TM,29/09/2021,18.3,"52.17103° N, 0.09964° E",All/mostly blue,Entirely in sunshine,Leaves still/moving occasionally,47,Half of patch,0,0,8,17,1,0,0,0,26
TM,03/10/2021,18.2,"52.17099° N, 0.09970° E",Half blue and half cloud,Entirely in sunshine,Leaves moving gently all the time,36,Half of patch,0,0,10,9,0,2,0,0,21
TM,10/10/2021,18.2,"52.17316° N, 0.10236° E",All/mostly blue,Entirely in sunshine,Leaves still/moving occassionally,23,Less than half,0,2,4,1,1,1,0,1,10
TM,10/10/2021,16.2,"52.17025° N, 0.09705° E",All/mostly blue,Entirely in sunshine,Leaves still/moving occassionally,54,Half of patch,0,9,8,3,2,0,0,0,22
TM,12/10/2021,18.2,"52.17174° N, 0.10122° E",Half blue and half cloud,Entirely in sunshine,Leaves still/moving occasionally,42,Less than half,1,0,11,1,2,0,0,1,16
TM,12/10/2021,18.3,"52.17062° N, 0.09813° E",Half blue and half cloud,Entirely in sunshine,Leaves still/moving occasionally,34,Half of patch,1,6,8,2,1,1,1,0,21
BG,26/09/2021,23.7,"52.19309° N, 0.12547° E",All/mostly blue,Entirely in sunshine,Leaves still/moving occasionally,36,Half of patch,0,2,3,6,1,3,0,0,15
BG,27/09/2021,21.8,"52.19318° N, 0.12574° E",Half blue and half cloud,Entirely shaded,Leaves moving gently all the time,33,More than half of patch,0,2,2,4,0,0,0,3,11
BG,28/09/2021,22.2,"52.19249° N, 0.12763° E",All/mostly blue,Partly in sun and partly shaded,Leaves still/moving occasionally,46,More than half of patch,0,2,6,0,1,3,0,2,14
BG,29/09/2021,21.8,"52.19250° N, 0.12761° E",All/mostly blue,Partly in sun and partly shaded,Leaves moving gently all the time,43,Half of patch,0,1,7,1,0,2,0,1,12
BG,30/09/2021,21.9,"52.19269° N, 0.12887° E",Half blue and half cloud,Partly in sun and partly shaded,Leaves still/moving occasionally,42,Less than half,0,0,6,2,3,3,0,0,14
BG,28/09/2021,17.7,"52.19254° N, 0.12762° E",Half blue and half cloud,Partly in sun and partly shaded,Leaves moving gently all the time,37,Less than half,0,0,19,0,0,0,0,0,19
BG,29/09/2021,18.5,"52.19257° N, 0.12897° E",Half blue and half cloud,Entirely in sunshine,Leaves moving gently all the time,27,Less than half,0,2,10,1,1,4,0,0,18
BG,03/10/2021,16.8,"52.19326° N, 0.12573° E ",Half blue and half cloud,Entirely in sunshine,Leaves moving gently all the time,61,Half of patch,0,3,8,1,1,1,0,0,14
BG,10/10/2021,18.4,"52.19285° N, 0.12606° E",Half blue and half cloud,Partly in sun and partly shaded,Leaves still/moving occasionally,37,Less than half,0,3,0,9,0,3,0,2,17
BG,11/10/2021,16.8,"52.19258° N, 0.12887° E",All/mostly blue,Entirely in sunshine,Leaves still/moving occasionally,23,Half of patch,0,0,1,7,0,1,0,0,9
