Site,Species,Quantity
1,Bumblebee,2
1,Honey bee,31
1,Ivy bee,80
1,Vespula vulgaris,25
1,Vespula germanica,28
1,Eristalis (Hoverfly bee mimick),8
1,Helophilus (Hoverfly),1
1,Epistrophe,3
1,Hoverfly morphospecies B,2
1,Hoverfly morphospecies C,1
1,Lucilia (Green bottle fly),4
1,Calliphora (Blue bottle fly),2
1,Fly morphospecies A,2
1,Fly morphospecies B,1
1,Vanessa atalanta (Red admiral butterfly),1
1,Small insects (<3mm),8
2,Honey bee,15
2,Ivy bee,62
2,Vespula vulgaris,11
2,Vespula germanica,20
2,Eristalis (Hoverfly bee mimick),2
2,Helophilus (Hoverfly),1
2,Epistrophe,1
2,Hoverfly morphospecies A,1
2,Hoverfly morphospecies C,1
2,Hoverfly morphospecies D,1
2,Lucilia (Green bottle fly),7
2,Calliphora (Blue bottle fly),8
2,Fly morphospecies A,5
2,Small insects (<3mm),8
